id,complex_sentence,simplified_level_1,simplified_level_2,simplified_level_3,image_prompt
89,"আমি যখন পড়াশোনা করি, তখন আমি শিক্ষকের প্রশংসা পাই।","পড়াশোনা করি। শিক্ষকের প্রশংসা পাই।","পড়ি। শিক্ষক প্রশংসা করে।","পড়ি।","A stick figure reading a blue book with a gold star above their head. Plain white background, no extra details."
90,"আমি আমার মায়ের সাথে বাগানে ফুল লাগাই, যা আমাদের বাগান সুন্দর করে।","মায়ের সাথে বাগানে ফুল লাগাই। বাগান সুন্দর হয়।","মায়ের সাথে ফুল লাগাই। বাগান সুন্দর।","মায়ের সাথে ফুল লাগাই।","Two stick figures planting a red flower in a garden. Plain white background, no extra details."
91,"আমি যখন আকাশে প্লেন দেখি, তখন আমি উৎসাহিত হই।","আকাশে প্লেন দেখি। আমি উৎসাহিত হই।","আকাশে প্লেন দেখি। উৎসাহিত হই।","প্লেন দেখি।","A red airplane flying in a blue sky. Plain white background, no extra details."
92,"আমি আমার বন্ধুদের সাথে খেলনা শেয়ার করি, যা আমাদের বন্ধুত্ব বাড়ায়।","বন্ধুদের সাথে খেলনা শেয়ার করি। বন্ধুত্ব বাড়ে।","বন্ধুদের সাথে খেলনা শেয়ার করি। বন্ধুত্ব বাড়ে।","বন্ধুদের সাথে খেলনা শেয়ার করি।","Two stick figures sharing a red toy car. Plain white background, no extra details."
93,"আমি যখন বাগানে প্রজাপতি দেখি, তখন আমি হাসি।","বাগানে প্রজাপতি দেখি। আমি হাসি।","বাগানে প্রজাপতি দেখি। হাসি।","প্রজাপতি দেখি।","A single butterfly with bright yellow wings in a garden. Plain white background, no extra details."
94,"আমি আমার শিক্ষকের কাছ থেকে গণিত শিখি, যা আমাকে সাহায্য করে।","শিক্ষকের কাছ থেকে গণিত শিখি। এটা সাহায্য করে।","শিক্ষকের কাছ থেকে গণিত শিখি। সাহায্য করে।","শিক্ষকের কাছ থেকে গণিত শিখি।","A stick figure writing numbers on a chalkboard with a teacher. Plain white background, no extra details."
95,"আমি যখন পার্কে বন্ধুদের সাথে খেলি, তখন আমি মজা পাই।","পার্কে বন্ধুদের সাথে খেলি। আমি মজা পাই।","পার্কে বন্ধুদের সাথে খেলি। মজা পাই।","পার্কে খেলি।","A stick figure playing with a ball in a green park. Plain white background, no extra details."
96,"আমি যখন সমুদ্রে ঢেউ দেখি, তখন আমি শান্ত হই।","সমুদ্রে ঢেউ দেখি। আমি শান্ত হই।","সমুদ্রে ঢেউ দেখি। শান্ত হই।","ঢেউ দেখি।","A blue wave in the sea. Plain white background, no extra details."
97,"আমি আমার বন্ধুদের সাথে গল্প শুনি, যা আমাদের মজা দেয়।","বন্ধুদের সাথে গল্প শুনি। এটা মজা দেয়।","বন্ধুদের সাথে গল্প শুনি। মজা হয়।","বন্ধুদের সাথে গল্প শুনি।","Two stick figures listening with speech bubbles above their heads. Plain white background, no extra details."
98,"আমি যখন বাগানে গাছের ছায়ায় বসি, তখন আমি শান্ত হই।","বাগানে গাছের ছায়ায় বসি। আমি শান্ত হই।","বাগানে গাছের ছায়ায় বসি। শান্ত হই।","গাছের ছায়ায় বসি।","A stick figure sitting under a green tree. Plain white background, no extra details."
99,"আমি আমার বন্ধুদের সাথে পড়াশোনা করি, যা আমাদের জ্ঞান বাড়ায়।","বন্ধুদের সাথে পড়াশোনা করি। জ্ঞান বাড়ে।","বন্ধুদের সাথে পড়ি। জ্ঞান বাড়ে।","বন্ধুদের সাথে পড়ি।","Two stick figures reading blue books together. Plain white background, no extra details."
100,"আমি যখন আকাশে পাখি দেখি, তখন আমি মজা পাই।","আকাশে পাখি দেখি। আমি মজা পাই।","আকাশে পাখি দেখি। মজা পাই।","পাখি দেখি।","A single bird with bright yellow feathers flying in a blue sky. Plain white background, no extra details."
